,id,variable,n_datapoints,n_days,first_date,last_date,n_unique_values,val_min,val_max
0,1,mood,222.0,47.0,2014-02-26,2014-03-29,6.0,4.0,9.0
1,1,circumplex.arousal,223.0,47.0,2014-02-26,2014-03-29,5.0,-2.0,2.0
2,1,circumplex.valence,223.0,47.0,2014-02-26,2014-03-29,4.0,-1.0,2.0
3,1,activity,1056.0,47.0,2014-03-20,2014-03-23,307.0,0.0,1.0
4,1,screen,5438.0,47.0,2014-03-20,2014-03-21,5264.0,0.336999893188477,8183.54500007629
5,1,call,151.0,51.0,2014-02-17,2014-03-20,1.0,1.0,1.0
6,1,sms,39.0,25.0,2014-02-19,2014-04-14,1.0,1.0,1.0
7,1,appCat.builtin,6299.0,47.0,2014-03-20,2014-03-21,3128.0,0.021,14542.772
8,1,appCat.communication,5337.0,47.0,2014-03-20,2014-03-21,4851.0,0.03,4534.717
9,1,appCat.entertainment,609.0,47.0,2014-03-20,2014-03-26,583.0,0.445,1326.016
10,1,appCat.finance,275.0,32.0,2014-03-21,2014-03-27,226.0,1.001,355.513
11,1,appCat.game,12.0,7.0,2014-03-28,2014-04-06,12.0,1.059,295.094
12,1,appCat.office,23.0,8.0,2014-03-21,2014-03-27,22.0,2.096,104.446
13,1,appCat.other,327.0,46.0,2014-03-20,2014-03-27,304.0,1.002,846.752
14,1,appCat.social,1097.0,47.0,2014-03-20,2014-03-21,1040.0,0.812,2323.033
15,1,appCat.travel,135.0,25.0,2014-03-21,2014-03-28,131.0,1.003,428.503
16,1,appCat.unknown,14.0,6.0,2014-03-20,2014-03-25,14.0,1.003,155.677
17,1,appCat.utilities,518.0,45.0,2014-03-20,2014-03-26,457.0,0.989,358.104
18,1,appCat.weather,1.0,1.0,2014-03-23,2014-03-23,1.0,30.386,30.386
19,2,mood,159.0,41.0,2014-03-16,2014-03-25,8.0,3.0,10.0
20,2,circumplex.arousal,159.0,41.0,2014-03-16,2014-03-25,5.0,-2.0,2.0
21,2,circumplex.valence,159.0,41.0,2014-03-16,2014-03-25,5.0,-2.0,2.0
22,2,activity,687.0,36.0,2014-03-17,2014-03-19,473.0,0.0,0.963302752293578
23,2,screen,4838.0,37.0,2014-03-14,2014-03-14,4426.0,0.133000135421753,2538.94199991226
24,2,call,451.0,66.0,2014-02-17,2014-02-28,1.0,1.0,1.0
25,2,sms,81.0,42.0,2014-02-17,2014-03-18,1.0,1.0,1.0
26,2,appCat.builtin,4075.0,36.0,2014-03-14,2014-03-15,3185.0,-44.689,16363.074
27,2,appCat.communication,2449.0,35.0,2014-03-14,2014-03-14,2313.0,0.007,1945.317
28,2,appCat.entertainment,418.0,32.0,2014-03-14,2014-03-19,413.0,-0.011,1598.421
29,2,appCat.finance,,,,,,,
30,2,appCat.game,,,,,,,
31,2,appCat.office,,,,,,,
32,2,appCat.other,213.0,31.0,2014-03-14,2014-03-17,211.0,0.018,242.331
33,2,appCat.social,561.0,33.0,2014-03-14,2014-03-18,553.0,0.094,2015.962
34,2,appCat.travel,303.0,13.0,2014-03-15,2014-03-19,299.0,0.333,349.94
35,2,appCat.unknown,,,,,,,
36,2,appCat.utilities,28.0,4.0,2014-03-27,2014-03-27,28.0,1.006,30.094
37,2,appCat.weather,,,,,,,
38,3,mood,221.0,47.0,2014-03-21,2014-03-31,4.0,6.0,9.0
39,3,circumplex.arousal,222.0,47.0,2014-03-21,2014-03-31,5.0,-2.0,2.0
40,3,circumplex.valence,222.0,47.0,2014-03-21,2014-03-31,5.0,-2.0,2.0
41,3,activity,1122.0,48.0,2014-03-22,2014-03-24,428.0,0.0,0.865546218487395
42,3,screen,4401.0,48.0,2014-03-21,2014-03-21,3848.0,0.0350000858306885,6087.97499990463
43,3,call,223.0,58.0,2014-02-18,2014-03-11,1.0,1.0,1.0
44,3,sms,59.0,36.0,2014-02-17,2014-03-27,1.0,1.0,1.0
45,3,appCat.builtin,903.0,48.0,2014-03-21,2014-03-22,849.0,0.007,19452.963
46,3,appCat.communication,2848.0,48.0,2014-03-21,2014-03-22,2498.0,0.033,6053.176
47,3,appCat.entertainment,3387.0,48.0,2014-03-21,2014-03-22,2443.0,0.002,8080.612
48,3,appCat.finance,72.0,25.0,2014-03-23,2014-04-03,71.0,0.626,248.863
49,3,appCat.game,,,,,,,
50,3,appCat.office,102.0,28.0,2014-03-21,2014-03-28,102.0,0.003,1494.864
51,3,appCat.other,494.0,47.0,2014-03-21,2014-03-24,480.0,0.014,3892.038
52,3,appCat.social,18.0,4.0,2014-04-10,2014-04-14,18.0,0.684,33.032
53,3,appCat.travel,51.0,13.0,2014-03-22,2014-03-23,51.0,0.628,264.723
54,3,appCat.unknown,46.0,33.0,2014-03-24,2014-04-25,46.0,0.8,2239.937
55,3,appCat.utilities,31.0,21.0,2014-03-22,2014-04-28,31.0,0.482,24.186
56,3,appCat.weather,3.0,2.0,2014-03-23,2014-03-30,3.0,2.065,44.854
57,5,mood,241.0,53.0,2014-03-14,2014-03-27,6.0,3.0,8.0
58,5,circumplex.arousal,241.0,53.0,2014-03-14,2014-03-27,5.0,-2.0,2.0
59,5,circumplex.valence,241.0,53.0,2014-03-14,2014-03-27,5.0,-2.0,2.0
60,5,activity,1169.0,50.0,2014-03-17,2014-03-19,445.0,0.0,0.824742268041237
61,5,screen,4380.0,53.0,2014-03-14,2014-03-14,3971.0,0.0780000686645508,3133.05700016022
